id_pesanan,tanggal,nama_produk,kategori,harga,jumlah,wilayah,modal,nilai_penjualan,untung
1001,2026-01-05,Mouse,Elektronik,150000.0,2,Jakarta,95000,300000.0,110000.0
1002,2026-01-29,Mouse,Elektronik,155000.0,2,Bandung,113000,310000.0,84000.0
1003,2026-01-12,Speaker Bluetooth,Elektronik,313000.0,5,Karawang,196000,1565000.0,585000.0
1004,2026-01-30,Novel Fiksi,Buku,62000.0,2,Karawang,39000,124000.0,46000.0
1005,2026-02-23,Matras Yoga,Olahraga,121000.0,5,Bandung,71000,605000.0,250000.0
1006,2026-01-21,Notebook Polos,Buku,14000.0,1,Medan,10000,14000.0,4000.0
1007,2026-01-14,Madu Hutan 250ml,Makanan,89000.0,3,Jakarta,72000,267000.0,51000.0
1008,2026-03-19,Novel Fiksi,Buku,66000.0,3,Surabaya,46000,198000.0,60000.0
1009,2026-02-18,Speaker Bluetooth,Elektronik,317000.0,1,Jakarta,179000,317000.0,138000.0
1010,2026-02-16,Sarung Tangan Gym,Olahraga,57000.0,5,Karawang,33000,285000.0,120000.0
1011,2026-02-07,Tas Ransel,Fashion,153000.0,2,Jakarta,94000,306000.0,118000.0
1012,2026-03-23,Kaos Polos,Fashion,73000.0,4,Surabaya,47000,292000.0,104000.0
1013,2026-03-31,Jaket Hoodie,Fashion,190000.0,3,Jakarta,123000,570000.0,201000.0
1014,2026-01-21,Botol Minum Olahraga,Olahraga,38000.0,2,Medan,29000,76000.0,18000.0
1015,2026-01-29,Komik,Buku,48000.0,5,Surabaya,30000,240000.0,90000.0
1016,2026-02-21,Keyboard,Elektronik,234000.0,3,Surabaya,166000,702000.0,204000.0
1017,2026-02-10,Keyboard,Elektronik,234000.0,5,Bandung,165000,1170000.0,345000.0
1018,2026-01-19,Buku Resep Masakan,Buku,61000.0,4,Surabaya,33000,244000.0,112000.0
1019,2026-02-03,Celana Jeans,Fashion,218000.0,5,Karawang,122000,1090000.0,480000.0
1020,2026-01-18,Notebook Polos,Buku,14000.0,2,Karawang,11000,28000.0,6000.0
1021,2026-01-20,Novel Fiksi,Buku,70000.0,1,Bandung,37000,70000.0,33000.0
1022,2026-03-18,Notebook Polos,Buku,13000.0,4,Medan,9000,52000.0,16000.0
1023,2026-03-29,Sarung Tangan Gym,Olahraga,59000.0,1,Jakarta,41000,59000.0,18000.0
1024,2026-01-15,Sarung Tangan Gym,Olahraga,57000.0,3,Surabaya,33000,171000.0,72000.0
1025,2026-03-06,Buku Motivasi,Buku,71000.0,3,Bandung,53000,213000.0,54000.0
1026,2026-03-23,Matras Yoga,Olahraga,127000.0,3,Karawang,92000,381000.0,105000.0
1027,2026-03-11,Botol Minum Olahraga,Olahraga,35000.0,2,Karawang,28000,70000.0,14000.0
1028,2026-01-15,Power Bank,Elektronik,174000.0,1,Surabaya,112000,174000.0,62000.0
1029,2026-01-11,Keripik Singkong,Makanan,20000.0,5,Jakarta,13000,100000.0,35000.0
1030,2026-01-17,Novel Fiksi,Buku,73000.0,5,Bandung,43000,365000.0,150000.0
1031,2026-03-19,Notebook Polos,Buku,14000.0,5,Medan,8000,70000.0,30000.0
1032,2026-02-09,Sepatu Sneakers,Fashion,364000.0,2,Medan,194000,728000.0,340000.0
1033,2026-01-16,Teh Celup Box,Makanan,26000.0,4,Bandung,15000,104000.0,44000.0
1034,2026-03-12,Kaos Polos,Fashion,73000.0,5,Bandung,44000,365000.0,145000.0
1035,2026-01-30,Botol Minum Olahraga,Olahraga,35000.0,1,Jakarta,27000,35000.0,8000.0
1036,2026-02-05,Headset,Elektronik,232000.0,2,Medan,158000,464000.0,148000.0
1037,2026-03-15,Sepatu Sneakers,Fashion,329000.0,5,Medan,197000,1645000.0,660000.0
1038,2026-01-13,Topi,Fashion,47000.0,2,Jakarta,28000,94000.0,38000.0
1039,2026-01-07,Komik,Buku,44000.0,4,Jakarta,26000,176000.0,72000.0
1040,2026-02-01,Charger,Elektronik,88000.0,1,Bandung,47000,88000.0,41000.0
1042,2026-02-26,Buku Motivasi,Buku,76000.0,1,Karawang,43000,76000.0,33000.0
1043,2026-01-02,Mouse,Elektronik,153000.0,5,Jakarta,92000,765000.0,305000.0
1044,2026-01-28,Celana Jeans,Fashion,206000.0,4,Medan,226000,824000.0,-80000.0
1045,2026-02-03,Keyboard,Elektronik,234000.0,4,Medan,154000,936000.0,320000.0
1046,2026-03-26,Teh Celup Box,Makanan,25000.0,5,Medan,18000,125000.0,35000.0
1047,2026-03-16,Celana Jeans,Fashion,203000.0,1,Karawang,164000,203000.0,39000.0
1048,2026-03-16,Speaker Bluetooth,Elektronik,310000.0,1,Medan,249000,310000.0,61000.0
1049,2026-01-11,Skipping Rope,Olahraga,28000.0,5,Bandung,18000,140000.0,50000.0
1050,2026-02-21,Power Bank,Elektronik,167000.0,2,Jakarta,126000,334000.0,82000.0
1051,2026-03-21,Botol Minum Olahraga,Olahraga,38000.0,1,Jakarta,23000,38000.0,15000.0
1052,2026-02-03,Notebook Polos,Buku,15000.0,3,Bandung,8000,45000.0,21000.0
1053,2026-03-27,Keripik Singkong,Makanan,21000.0,2,Surabaya,14000,42000.0,14000.0
1054,2026-01-02,Komik,Buku,48000.0,1,Medan,35000,48000.0,13000.0
1055,2026-03-10,Skipping Rope,Olahraga,32000.0,1,Bandung,19000,32000.0,13000.0
1056,2026-01-09,Laptop Gaming (Bonus),Elektronik,10500000.0,3,Bandung,9600000,31500000.0,2700000.0
1057,2026-02-08,Madu Hutan 250ml,Makanan,89000.0,5,Karawang,64000,445000.0,125000.0
1058,2026-02-08,Matras Yoga,Olahraga,123000.0,5,Jakarta,89000,615000.0,170000.0
1059,2026-03-12,Jaket Hoodie,Fashion,183000.0,1,Bandung,111000,183000.0,72000.0
1060,2026-01-27,Madu Hutan 250ml,Makanan,96000.0,3,Surabaya,52000,288000.0,132000.0
1061,2026-01-12,Raket Badminton,Olahraga,264000.0,1,Medan,211000,264000.0,53000.0
1062,2026-03-23,Kopi Bubuk 200g,Makanan,44000.0,2,Surabaya,36000,88000.0,16000.0
1063,2026-03-13,Tas Ransel,Fashion,163000.0,4,Jakarta,116000,652000.0,188000.0
1064,2026-03-11,Mouse,Elektronik,160000.0,2,Jakarta,112000,320000.0,96000.0
1065,2026-01-17,Cokelat Batang,Makanan,32000.0,4,Jakarta,24000,128000.0,32000.0
1066,2026-02-15,Madu Hutan 250ml,Makanan,101000.0,1,Bandung,69000,101000.0,32000.0
1067,2026-02-22,Tas Ransel,Fashion,154000.0,5,Karawang,130000,770000.0,120000.0
1068,2026-02-22,Celana Jeans,Fashion,222000.0,2,Jakarta,158000,444000.0,128000.0
1069,2026-03-27,Tas Ransel,Fashion,176000.0,4,Bandung,131000,704000.0,180000.0
1070,2026-02-18,Keripik Singkong,Makanan,23000.0,1,Jakarta,16000,23000.0,7000.0
1071,2026-02-14,Buku Motivasi,Buku,68000.0,4,Surabaya,40000,272000.0,112000.0
1072,2026-02-21,Celana Jeans,Fashion,193000.0,2,Surabaya,140000,386000.0,106000.0
1073,2026-02-14,Kopi Bubuk 200g,Makanan,51000.0,3,Karawang,27000,153000.0,72000.0
1074,2026-01-15,Notebook Polos,Buku,14000.0,1,Surabaya,10000,14000.0,4000.0
1075,2026-01-05,Sepatu Sneakers,Fashion,375000.0,3,Jakarta,196000,1125000.0,537000.0
1076,2026-02-25,Raket Badminton,Olahraga,268000.0,3,Karawang,319000,804000.0,-153000.0
1077,2026-01-25,Matras Yoga,Olahraga,117000.0,5,Surabaya,89000,585000.0,140000.0
1078,2026-03-10,Speaker Bluetooth,Elektronik,316000.0,5,Bandung,179000,1580000.0,685000.0
1079,2026-03-21,Teh Celup Box,Makanan,23000.0,3,Surabaya,14000,69000.0,27000.0
1080,2026-02-09,Speaker Bluetooth,Elektronik,313000.0,5,Medan,217000,1565000.0,480000.0
1081,2026-01-17,Teh Celup Box,Makanan,25000.0,5,Bandung,19000,125000.0,30000.0
1082,2026-03-20,Buku Resep Masakan,Buku,59000.0,2,Karawang,46000,118000.0,26000.0
1083,2026-02-08,Teh Celup Box,Makanan,25000.0,1,Surabaya,18000,25000.0,7000.0
1084,2026-03-25,Topi,Fashion,47000.0,5,Surabaya,33000,235000.0,70000.0
