id_pesanan,tanggal,nama_produk,kategori,harga,jumlah,wilayah,modal
1001,2026-01-05,Mouse,Elektronik,150000.0,2,Jakarta,95000
1002,2026-01-29,Mouse,Elektronik,155000.0,2,Bandung,113000
1003,2026-01-12,Speaker Bluetooth,Elektronik,,5,Karawang,196000
1004,2026-01-30,Novel Fiksi,Buku,62000.0,2,Karawang,39000
1005,2026-02-23,Matras Yoga,Olahraga,121000.0,5,Bandung,71000
1006,2026-01-21,Notebook Polos,Buku,14000.0,1,Medan,10000
1007,2026-01-14,Madu Hutan 250ml,Makanan,89000.0,3,Jakarta,72000
1008,2026-03-19,Novel Fiksi,Buku,66000.0,3,Surabaya,46000
1009,2026-02-18,Speaker Bluetooth,Elektronik,317000.0,1,Jakarta,179000
1010,2026-02-16,Sarung Tangan Gym,Olahraga,57000.0,5,Karawang,33000
1011,2026-02-07,Tas Ransel,Fashion,153000.0,2,Jakarta,94000
1012,2026-03-23,Kaos Polos,Fashion,73000.0,4,Surabaya,47000
1013,2026-03-31,Jaket Hoodie,Fashion,190000.0,3,Jakarta,123000
1014,2026-01-21,Botol Minum Olahraga,Olahraga,38000.0,2,Medan,29000
1015,2026-01-29,Komik,Buku,48000.0,5,Surabaya,30000
1016,2026-02-21,Keyboard,Elektronik,,3,Surabaya,166000
1017,2026-02-10,Keyboard,Elektronik,234000.0,5,Bandung,165000
1018,2026-01-19,Buku Resep Masakan,Buku,61000.0,4,Surabaya,33000
1019,2026-02-03,Celana Jeans,Fashion,218000.0,5,Karawang,122000
1020,2026-01-18,Notebook Polos,Buku,14000.0,2,Karawang,11000
1021,2026-01-20,Novel Fiksi,Buku,70000.0,1,Bandung,37000
1022,2026-03-18,Notebook Polos,Buku,13000.0,4,Medan,9000
1023,2026-03-29,Sarung Tangan Gym,Olahraga,59000.0,1,Jakarta,41000
1024,2026-01-15,Sarung Tangan Gym,Olahraga,57000.0,3,Surabaya,33000
1025,2026-03-06,Buku Motivasi,Buku,71000.0,3,Bandung,53000
1026,2026-03-23,Matras Yoga,Olahraga,127000.0,3,Karawang,92000
1027,2026-03-11,Botol Minum Olahraga,Olahraga,35000.0,2,Karawang,28000
1028,2026-01-15,Power Bank,Elektronik,174000.0,1,Surabaya,112000
1029,2026-01-11,Keripik Singkong,Makanan,20000.0,5,Jakarta,13000
1030,2026-01-17,Novel Fiksi,Buku,73000.0,5,Bandung,43000
1031,2026-03-19,Notebook Polos,Buku,14000.0,5,Medan,8000
1032,2026-02-09,Sepatu Sneakers,Fashion,364000.0,2,Medan,194000
1033,2026-01-16,Teh Celup Box,Makanan,26000.0,4,Bandung,15000
